id,name,reaction_count,associated_reactions
BSU13600,mtnX,1,HKM1PP
BSU28150,hemC,1,HMBS
BSU23570,ansB,1,ASPT
BSU22370,aspB,1,ASPTA
BSU34130,ganA,1,LACZ
BSU34920,hisG,1,ATPPRT
BSU36810,atpD,1,ATPS4r
BSU17150,pksG,1,HMGCOAS
BSU06980,rhgP,1,LCTSabc
BSU18230,yngG,1,HMGL
BSU36840,atpH,1,ATPS4r
BSU06970,yesO,1,LCTSabc
BSU38020,pdxK,2,"PMPK, HMPK1"
BSU06990,rhgQ,1,LCTSabc
BSU11710,thiD,2,"PMPK, HMPK1"
BSU03050,ldh,2,"LDH_L, LDH2"
BSU38500,dltA,2,"LIPO3S24_BS, TECA2S45"
BSU13960,ykwC,1,HOXPRx
BSU38530,dltD,2,"LIPO3S24_BS, TECA2S45"
BSU37780,rocA,2,"P5CD, HP5CD_1"
BSU38510,dltB,2,"LIPO3S24_BS, TECA2S45"
BSU38520,dltC,2,"LIPO3S24_BS, TECA2S45"
BSU19690,kamA,1,LYSAM
BSU00790,folK,1,HPPK
BSU00270,yaaO,1,LYSDC
BSU32260,hom,1,HSDy
BG12900,BG12900,1,LYSLG_BS
BSU32240,thrB,1,HSK
BSU21910,metA,1,HSST
BSU22600,aroA,1,PSCVT
BSU02290,psd,1,PSDC_BS
BSU10870,yisU,1,LYSt3r
BSU10020,serC,1,PSERT
BSU22620,hisC,3,"TYRTA, PHETA1, HSTPTr"
BSU34890,hisH,3,"TYRTA, PHETA1, HSTPTr"
BSU03990,mtlD,1,M1PD
BSU08180,malA,1,MAL6PG
BSU35780,lytD,1,HXAD
BSU04740,rsbX,2,"PSP_L, PSP_D"
BSU34560,mdxL,9,"MLTG2, MALT, MLTG6, MLTG4, MLTG1, MLTG5, SUCR, MLTG3, MLTG7"
BSU40850,maa,1,MALTATr
BSU13730,queD,1,PTHPS
BSU29130,icd,1,ICDHyr
BSU31990,dhbC,1,ICHORS
BSU34140,ganQ,1,MALTabc
BSU15020,coaD,1,PTPATi
BSU34610,mdxE,1,MALTabc
BSU30830,menF,1,ICHORS
BSU31970,dhbB,1,ICHORT
BSU34150,ganP,1,MALTabc
BSU23490,pupG,9,"PUNP2, PNP, PUNP4, PUNP7, PUNP1, PUNP3, PUNP6, PUNP8, PUNP5"
BSU30280,amyD,1,MALTabc
BSU19630,deoD,9,"PUNP2, PNP, PUNP4, PUNP7, PUNP1, PUNP3, PUNP6, PUNP8, PUNP5"
BSU03070,mdr,1,PURabc1
BSU34870,hisF,1,IG3PS_1
BSU34900,hisB,1,IGPDH_1
BSU34590,mdxG,1,MALTabc
BSU29180,pyk,1,PYK
BSU34600,mdxF,1,MALTabc
BSU22660,trpC,1,IGPS
BSU34160,cycB,1,MALTabc
BSU24080,bcd,3,"ILEDHr, LLEUDr, VALDHr"
BSU30290,amyC,1,MALTabc
BSU00110,pdxS,1,PYRIS
BSU38550,ilvK,3,"LEUTA, VALTA, ILETA"
BSU30270,msmE,1,MALTabc
BSU02390,ilvE,3,"LEUTA, VALTA, ILETA"
BSU08200,malP,1,MALTpts
BSU29600,braB,3,"ILEt2r, VALt2r, LEUt2r"
BSU00120,pdxT,1,PYRIS
BSU23560,mleN,1,MALt10
BSU31580,maeN,1,MALt4
BSU35790,yvyI,1,MAN6PI
BSU39980,qodI,1,Q23DO
BSU26700,azlD,3,"ILEt2r, VALt2r, LEUt2r"
BSU12020,manA,1,MAN6PI
BSU26690,brnQ,3,"ILEt2r, VALt2r, LEUt2r"
BSU26710,azlC,3,"ILEt2r, VALt2r, LEUt2r"
BSU27850,nadA,1,QULNS
BSU12010,manP,1,MANpts
BSU00090,guaB,1,IMPD
BSU24130,mmgE,1,MCA
BSU39700,iolG,1,INS2D
BSU29300,rbfK,1,RBFK
BSU24140,mmgD,1,MCITS
BSU23270,ribE,2,"RBFSb, RBFSa"
BSU00180,tadA,1,MCSNAH
BSU39720,iolE,1,INSCR
BSU23250,ribH,2,"RBFSb, RBFSa"
BSU29120,mdh,1,MDH
BSU28790,araB,2,"RBK_Dr, RBK_L1"
BSU39750,iolB,1,INSCR
BSU13610,mtnB,1,MDRPD
BSU39730,iolD,1,INSCR
BSU28780,araD,1,RBP4E
BSU04000,ycsA,4,"TARTRDH, TARTDC, TARTRDH2, MALDDH"
BSU39740,iolC,1,INSCR
BSU29220,ytsJ,1,ME2
BSU06230,iolT,1,INSTt2
BSU39710,iolF,1,INSTt2
BSU31180,rhaA,1,RMI
BSU25070,ispG,1,MECDPDH2
BSU31200,rhaB,1,RMK
BSU22870,fni,1,IPDDI
BSU00910,ispF,1,MECDPS
BSU16530,uppS,1,IPDPUPT
BSU17370,nrdI,4,"RNDR4, RNDR1, RNDR2, RNDR3"
BSU00900,ispD,1,MEPCT
BSU17390,nrdF,4,"RNDR4, RNDR1, RNDR2, RNDR3"
BSU28270,leuB,1,IPMD
BSU30550,metK,1,METAT
BSU28260,leuC,2,"IPPMIa, IPPMIb"
BSU17380,nrdE,4,"RNDR4, RNDR1, RNDR2, RNDR3"
BSU29380,tcyJ,4,"METSabc, METabc, METSRabc, METDabc"
BSU28250,leuD,2,"IPPMIa, IPPMIb"
BSU29350,tcyM,4,"METSabc, METabc, METSRabc, METDabc"
BSU28280,leuA,1,IPPS
BSU39370,hutI,1,IZPN_1
BSU15790,rpe,1,RPE
BSU29360,tcyL,4,"METSabc, METabc, METSRabc, METDabc"
BSU36920,ywlF,1,RPI
BSU28290,ilvC,2,"KARA2, KARA1"
BSU29340,tcyN,4,"METSabc, METabc, METSRabc, METDabc"
BSU15590,sat,1,SADT
BSU04030,ycsD,14,"KAS6, KAS2, KAS3, KAS1, KAS5, KAS7, KAS9, KAS8, KAS10, KAS12, KAS17, KAS11, KAS13, KAS4"
BSU32730,metQ,4,"METSabc, METabc, METSRabc, METDabc"
BSU29370,tcyK,4,"METSabc, METabc, METSRabc, METDabc"
BSU36370,fabZ,14,"KAS6, KAS2, KAS3, KAS1, KAS5, KAS7, KAS9, KAS8, KAS10, KAS12, KAS17, KAS11, KAS13, KAS4"
BSU06150,gutB,1,SBTD_D2
BSU32740,metP,4,"METSabc, METabc, METSRabc, METDabc"
BSU06160,gutP,1,SBTt2
BSU11720,fabI,14,"KAS6, KAS2, KAS3, KAS1, KAS5, KAS7, KAS9, KAS8, KAS10, KAS12, KAS17, KAS11, KAS13, KAS4"
BSU32750,metN,4,"METSabc, METabc, METSRabc, METDabc"
BSU13180,metE,1,METS
BSU21680,msrB,2,"METSR_R2, METSR_R1"
BSU15910,fabG,14,"KAS6, KAS2, KAS3, KAS1, KAS5, KAS7, KAS9, KAS8, KAS10, KAS12, KAS17, KAS11, KAS13, KAS4"
BSU19710,yodQ,1,SDPDS
BSU21690,msrA,2,"METSR_S2, METSR_S1"
BSU00930,cysE,1,SERAT
BSU00380,metS,1,METTRS
BSU23770,dsdA,1,SERD_D
BSU10170,fabHB,14,"KAS6, KAS2, KAS3, KAS1, KAS5, KAS7, KAS9, KAS8, KAS10, KAS12, KAS17, KAS11, KAS13, KAS4"
BSU22480,mgsA,1,MGSA
BSU08650,fabL,14,"KAS6, KAS2, KAS3, KAS1, KAS5, KAS7, KAS9, KAS8, KAS10, KAS12, KAS17, KAS11, KAS13, KAS4"
BSU08000,yfjQ,1,MGt5
BSU15860,sdaAA,1,SERD_L
BSU13300,mgtE,1,MGt5
BSU15850,sdaAB,1,SERD_L
BSU11330,fabHA,12,"KAS6, KAS2, KAS3, KAS1, KAS5, KAS7, KAS9, KAS10, KAS17, KAS11, KAS13, KAS4"
BSU15900,fabD,14,"KAS6, KAS2, KAS3, KAS1, KAS5, KAS7, KAS9, KAS8, KAS10, KAS12, KAS17, KAS11, KAS13, KAS4"
BSU24740,yqxL,1,MGt5
BSU15630,sirC,1,SHCHD2_1
BSU15620,sirB,1,SHCHF_2
BSU11340,fabF,14,"KAS6, KAS2, KAS3, KAS1, KAS5, KAS7, KAS9, KAS8, KAS10, KAS12, KAS17, KAS11, KAS13, KAS4"
BSU14670,suhB,1,MI1PP
BSU24120,mmgF,1,MCITL2
BSU13500,ktrD,1,Kt2r
BSU25660,aroD,1,SHK3Dr
BSU39760,mmsA,4,"MMSAD2, MMSAD1, MMSAD3, MMSDHir"
BSU31100,ktrB,1,Kt2r
BSU03981,mtlA,1,MNLpts
BSU03150,aroK,1,SHKK
BSU12340,uxuA,1,MNNH
BSU11870,metI,5,"SHSL2, SHSL4r, SLCYSS, SHSL1, SHSL3"
BSU31090,ktrA,1,Kt2r
BSU30760,mntB,1,MNabc
BSU14510,ktrC,1,Kt2r
BSU30770,mntA,1,MNabc
BSU26640,yrdP,1,Kt2r
BSU34660,yvdB,1,SO4t2
BSU30740,mntD,1,MNabc
BSU15580,cysP,1,SO4t2
BSU31620,mrpC,2,"Kt3r, NAt3_1"
BSU31600,mrpA,2,"Kt3r, NAt3_1"
BSU30750,mntC,1,MNabc
BSU31660,mrpG,2,"Kt3r, NAt3_1"
BSU01580,ybaR,1,SO4t2
BSU04360,mntH,1,MNt2
BSU31630,mrpD,2,"Kt3r, NAt3_1"
BSU33390,yvgM,1,MOBDabc
BSU25020,sodA,1,SPODM
BSU33370,yvgK,1,MOBDabc
BSU26600,bltD,2,"SPMDAT3, SPMDAT1"
BSU33380,yvgL,1,MOBDabc
BSU22430,panB,1,MOHMT
